cod_area;longitude;latitude;pk_sensor;gs;p1_c;p1_w;p2_c;p2_w;p3;p4_c;p4_w;sws;ews;ID_rain_gauge
LIG;8.1182;44.2341;50135;0.2;6;3;12;6;1;96;48;5;9;4423410081182
LIG;8.1958;44.244;50147;0.2;6;3;12;6;1;96;48;5;9;4424400081958
LIG;9.6147;44.245;44544;0.2;6;3;12;6;1;96;48;5;9;4424500096147
LIG;9.84;44.2499;39523;0.2;6;3;12;6;1;96;48;5;9;4424990098400
LIG;9.9699;44.2504;50192;0.2;6;3;12;6;1;96;48;5;9;4425040099699
LIG;9.737;44.2643;39612;0.2;6;3;12;6;1;96;48;5;9;4426430097370
LIG;9.4297;44.27;40089;0.2;6;3;12;6;1;96;48;5;9;4427000094297
LIG;9.6596;44.2747;39608;0.2;6;3;12;6;1;96;48;5;9;4427470096596
LIG;9.5977;44.2752;50010;0.2;6;3;12;6;1;96;48;5;9;4427520095977
LIG;8.3714;44.2843;50031;0.2;6;3;12;6;1;96;48;5;9;4428430083714
LIG;8.2025;44.2865;50164;0.2;6;3;12;6;1;96;48;5;9;4428650082025
LIG;8.2979;44.2932;50143;0.2;6;3;12;6;1;96;48;5;9;4429320082979
LIG;9.4814;44.2951;50070;0.2;6;3;12;6;1;96;48;5;9;4429510094814
LIG;9.3736;44.2968;40013;0.2;6;3;12;6;1;96;48;5;9;4429680093736
LIG;9.6775;44.2985;19932;0.2;6;3;12;6;1;96;48;5;9;4429850096775
LIG;9.7658;44.3054;19937;0.2;6;3;12;6;1;96;48;5;9;4430540097658
LIG;8.4831;44.3062;20161;0.2;6;3;12;6;1;96;48;5;9;4430620084831
LIG;9.441;44.3109;20125;0.2;6;3;12;6;1;96;48;5;9;4431090094410
LIG;9.5486;44.3127;39614;0.2;6;3;12;6;1;96;48;5;9;4431270095486
LIG;8.1598;44.3132;50158;0.2;6;3;12;6;1;96;48;5;9;4431320081598
LIG;9.3455;44.3222;20094;0.2;6;3;12;6;1;96;48;5;9;4432220093455
LIG;9.6148;44.3232;22449;0.2;6;3;12;6;1;96;48;5;9;4432320096148
LIG;9.1691;44.3271;50152;0.2;6;3;12;6;1;96;48;5;9;4432710091691
LIG;8.3829;44.333;20159;0.2;6;3;12;6;1;96;48;5;9;4433300083829
LIG;8.3478;44.3343;40004;0.2;6;3;12;6;1;96;48;5;9;4433430083478
LIG;8.4801;44.3354;20168;0.2;6;3;12;6;1;96;48;5;9;4433540084801
LIG;9.2104;44.3362;50181;0.2;6;3;12;6;1;96;48;5;9;4433620092104
LIG;9.3562;44.3421;39592;0.2;6;3;12;6;1;96;48;5;9;4434210093562
LIG;8.4375;44.3456;20165;0.2;6;3;12;6;1;96;48;5;9;4434560084375
LIG;9.6991;44.3497;39546;0.2;6;3;12;6;1;96;48;5;9;4434970096991
LIG;9.4808;44.3505;50006;0.2;6;3;12;6;1;96;48;5;9;4435050094808
LIG;9.5841;44.3524;39529;0.2;6;3;12;6;1;96;48;5;9;4435240095841
LIG;9.2095;44.3542;50050;0.2;6;3;12;6;1;96;48;5;9;4435420092095
LIG;9.8966;44.3618;40078;0.2;6;3;12;6;1;96;48;5;9;4436180098966
LIG;8.5273;44.3619;20180;0.2;6;3;12;6;1;96;48;5;9;4436190085273
