ID_project;ID_lan;class_number;class_type;longitude;latitude;geo_acc;date;date_acc
LIG_0331;a;N1;FC;9.768328;44.120882;P1;21/10/2013 21:59;G
LIG_0332;a;N1;NS;9.83522;44.179459;P1;21/10/2013 21:59;G
LIG_0333;a;N1;FC;8.705746;44.45214;P2;22/10/2013 09:00;OD
LIG_0334;a;N2;FS;9.38821;44.40989;P2;22/10/2013 03:00;OD
LIG_0335;a;N2;FS;9.357263;44.385807;P1;22/10/2013 03:00;OD
LIG_0336;a;N1;FS;9.300024;44.375314;P1;22/10/2013 03:00;OD
LIG_0337;a;N1;FS;9.38935;44.378812;P1;22/10/2013 03:00;OD
LIG_0338;a;N1;NS;9.798292;44.121612;P1;24/10/2013 03:00;OD
LIG_0339;a;N1;FS;9.223291;44.422435;P1;30/10/2013 08:00;OD
LIG_0340;a;N1;FS;9.250265;44.449406;P1;30/10/2013 10:00;OD
LIG_0341;a;N1;NS;9.202931;44.415212;P1;30/10/2013 08:00;OD
LIG_0342;a;N1;NS;8.950534;44.620882;P2;30/10/2013 01:30;O
LIG_0343;a;N1;NS;9.380929;44.380224;P2;03/11/2013 07:00;OD
LIG_0344;a;N1;FC;8.421166;44.192694;P1;18/11/2013 12:00;OD
LIG_0345;a;N1;FC;7.590938;43.841922;P1;20/12/2013 07:00;OD
LIG_0346;a;N1;NS;7.834815;43.951852;P1;25/12/2013 22:59;G
LIG_0347;a;N1;NS;8.020166;43.916383;P2;26/12/2013 12:00;OD
LIG_0348;a;N1;NS;7.812788;44.071015;P1;26/12/2013 04:00;OD
LIG_0349;a;N1;NS;8.90515;44.497949;P1;26/12/2013 09:00;OD
LIG_0350;a;N1;NS;8.217556;44.208469;P1;26/12/2013 07:00;OD
LIG_0351;a;N2;NS;9.142259;44.440535;P1;26/12/2013 07:00;OD
LIG_0352;a;N1;NS;9.374866;44.395529;P1;26/12/2013 07:00;OD
LIG_0353;a;N1;FS;9.231625;44.42344;P1;26/12/2013 07:00;OD
LIG_0354;a;N1;NS;8.220911;44.400715;P1;26/12/2013 09:30;OD
LIG_0355;a;N1;NS;9.120666;44.436154;P1;27/12/2013 06:00;OD
LIG_0356;a;N1;NS;7.646876;43.790041;P1;29/12/2013 07:00;OD
LIG_0357;a;N1;FC;9.36511;44.447504;P1;02/01/2014 22:59;O
LIG_0359;a;N1;NS;9.387063;44.396145;P1;04/01/2014 13:30;O
LIG_0360;a;N1;NS;9.450057;44.292148;P1;04/01/2014 16:00;OD
LIG_0361;a;N1;NS;9.173687;44.409722;P1;04/01/2014 20:00;OD
LIG_0362;a;N1;NS;9.413868;44.370195;P1;04/01/2014 16:00;OD
LIG_0363;a;N1;NS;8.936901;44.477615;P1;06/01/2014 03:00;OD
LIG_0364;a;N1;FC;7.56762;43.914161;P1;06/01/2014 04:00;OD
LIG_0365;a;N1;NS;9.799286;44.132943;P1;14/01/2014 07:00;OD
LIG_0366;a;N1;FC;8.06827;43.889902;P1;15/01/2014 14:00;OD
LIG_0367;a;N2;FS;7.863923;43.840101;P1;16/01/2014 21:00;OD
LIG_0368;a;N1;NS;8.003846;44.025504;P1;17/01/2014 04:00;OD
LIG_0369;a;N1;NS;8.072731;44.034162;P1;17/01/2014 06:50;O
LIG_0370;a;N1;NS;8.015437;44.034216;P1;19/01/2014 07:00;OD
LIG_0371;a;N1;FC;8.168787;43.961481;P1;17/01/2014 02:00;O
LIG_0372;a;N1;FC;8.238905;44.104883;P1;17/01/2014 04:00;OD
LIG_0373;a;N1;NS;7.818156;43.908427;P2;18/01/2014 17:00;OD
LIG_0374;a;N1;NS;7.84424;43.883606;P1;17/01/2014 04:00;OD
LIG_0375;a;N1;NS;7.770045;43.825184;P1;16/01/2014 22:59;OD
LIG_0376;a;N1;NS;9.360263;44.356085;P1;17/01/2014 04:00;OD
LIG_0377;a;N1;NS;9.142339;44.440341;P1;17/01/2014 10:45;OD
LIG_0378;a;N1;NS;9.387958;44.411923;P1;17/01/2014 10:00;OD
LIG_0379;a;N1;FS;7.676755;43.928347;P1;17/01/2014 07:00;OD
LIG_0380;a;N1;NS;8.135794;43.942248;P1;17/01/2014 11:45;O
LIG_0381;a;N1;NS;9.914928;44.113695;P1;17/01/2014 12:00;O
LIG_0382;a;N1;CF;7.685831;43.960685;P1;17/01/2014 16:00;OD
LIG_0383;a;N1;NS;7.767998;43.993379;P1;17/01/2014 12:00;OD
LIG_0384;a;N1;NS;8.21645;44.096321;P1;17/01/2014 07:50;OD
LIG_0385;a;N1;NS;7.605111;43.84226;P1;17/01/2014 22:59;G
LIG_0386;a;N1;NS;7.688968;43.788362;P1;18/01/2014 07:00;O
LIG_0387;a;N1;NS;7.770045;43.825184;P1;18/01/2014 04:00;OD
LIG_0388;a;N1;FS;7.674525;43.800957;P1;19/01/2014 11:00;OD
LIG_0389;a;N1;FS;9.056303;44.380339;P1;19/01/2014 11:00;OD
LIG_0390;a;N1;NS;7.688968;43.788362;P1;19/01/2014 16:00;OD
LIG_0391;a;N1;NS;9.790876;44.2432;P2;19/01/2014 04:00;OD
LIG_0392;a;N1;NS;7.597048;43.794162;P1;19/01/2014 02:30;O
LIG_0393;a;N1;NS;7.739123;43.7968;P1;20/01/2014 11:00;OD
LIG_0395;a;N1;NS;7.688966;43.788358;P1;05/02/2014 17:30;OD
LIG_0396;a;N1;NS;7.664317;43.846033;P2;05/02/2014 17:00;OD
LIG_0397;a;N1;NS;8.702054;44.413677;P2;05/02/2014 22:00;OD
LIG_0398;a;N1;NS;8.0659;43.892001;P1;06/02/2014 03:00;OD
LIG_0399;a;N1;NS;8.379704;44.327216;P1;06/02/2014 10:00;OD
LIG_0400;a;N1;FC;8.236822;44.101942;P1;06/02/2014 07:00;OD
LIG_0401;a;N1;NS;8.071762;44.03609;P1;05/02/2014 18:00;O
LIG_0402;a;N1;FC;8.908033;44.416003;P1;08/02/2014 19:00;OD
LIG_0405;a;N1;NS;8.902784;44.439527;P1;09/02/2014 05:30;O
LIG_0408;a;N1;CF;9.378505;44.383938;P1;09/02/2014 04:00;OD
LIG_0409;a;N1;FC;7.827803;43.838773;P1;09/02/2014 07:00;OD
LIG_0410;a;N1;FC;8.172764;43.957532;P1;08/02/2014 22:30;O
LIG_0412;a;N1;NS;8.192187;44.02408;P1;10/02/2014 10:00;OD
LIG_0413;a;N1;FC;9.689184;44.133893;P2;08/02/2014 04:00;OD
LIG_0414;a;N1;NS;9.825925;44.173666;P1;10/02/2014 13:00;O
LIG_0415;a;N1;NS;9.738821;44.24481;P2;11/02/2014 04:00;OD
LIG_0416;a;N1;NS;8.895372;44.461471;P1;26/02/2014 16:00;OD
LIG_0417;a;N1;NS;8.900022;44.42631;P2;01/03/2014 08:00;OD
LIG_0418;a;N1;FC;8.905978;44.443414;P2;01/03/2014 09:30;OD
LIG_0419;a;N1;NS;9.296202;44.356912;P1;01/03/2014 04:00;OD
LIG_0420;a;N1;NS;8.874219;44.522727;P1;02/03/2014 19:00;OD
LIG_0421;a;N1;FC;8.271213;44.177625;P1;04/03/2014 06:15;O
LIG_0423;a;N1;NS;8.447363;44.250715;P1;03/03/2014 10:00;OD
LIG_0424;a;N1;NS;8.970061;44.459583;P1;09/10/2014 10:00;OD
LIG_0425;a;N1;CF;8.943166;44.537209;P1;10/10/2014 15:42;O
LIG_0426;a;N1;NS;8.908992;44.469505;P2;10/10/2014 16:00;OD
LIG_0427;a;N1;NS;8.887273;44.447679;P1;10/10/2014 11:20;O
LIG_0428;a;N1;NS;9.239796;44.372587;P2;09/10/2014 23:45;O
LIG_0429;a;N1;NS;9.3401;44.466791;P1;10/10/2014 07:00;OD
LIG_0430;a;N1;NS;8.797877;44.442542;P3;11/10/2014 08:00;OD
LIG_0431;a;N1;NS;8.948491;44.626054;P2;11/10/2014 08:00;OD
LIG_0432;a;N1;NS;9.144011;44.377834;P1;11/10/2014 10:50;O
LIG_0433;a;N1;NS;8.839094;44.487241;P3;11/10/2013 07:00;OD
LIG_0434;a;N1;NS;9.23045;44.406933;P1;11/10/2014 10:00;OD
LIG_0435;a;N1;NS;9.197908;44.361547;P1;11/10/2014 10:00;OD
LIG_0436;a;N1;FS;9.257879;44.429177;P1;11/10/2014 06:00;OD
LIG_0437;a;N1;NS;8.94349938;44.42067584;p1;11/10/2014 07:00;OD
LIG_0438;a;N1;FS;9.148465;44.386682;P1;10/10/2014 07:00;OD
LIG_0439;a;N1;NS;8.945639;44.66453;P3;13/10/2014 08:00;OD
LIG_0440;a;N1;NS;8.698551;44.540028;P1;13/10/2014 07:00;
LIG_0441;a;N1;NS;7.579972;43.796019;P2;04/11/2014 20:00;OD
LIG_0442;a;N1;FC;8.487544;44.313254;P1;05/11/2014 08:30;O
LIG_0443;a;N1;NS;7.525456;43.879293;P2;05/11/2014 07:00;OD
LIG_0444;a;N1;NS;9.042574;44.51257;P1;06/11/2014 07:00;OD
LIG_0445;a;N1;FC;9.437936;44.246757;P1;06/11/2014 10:00;O
LIG_0446;a;N1;FC;8.916589;44.424149;P1;06/11/2014 14:00;OD
LIG_0447;a;N1;FC;9.426083;44.259632;P1;10/11/2014 16:30;OD
LIG_0448;a;N1;NS;7.579988;43.795908;P1;10/11/2014 16:00;OD
LIG_0449;a;N1;NS;9.280947;44.330686;P2;10/11/2014 22:00;OD
LIG_0450;a;N1;FC;8.807545;44.432162;P2;10/11/2014 19:00;OD
LIG_0451;a;N2;NS;9.36301;44.354311;P1;10/11/2014 21:00;OD
LIG_0452;a;N1;FS;9.235585;44.358489;P1;11/11/2014 07:00;OD
LIG_0453;a;N1;NS;9.404457;44.403172;P1;11/11/2014 07:00;OD
LIG_0454;a;N1;NS;9.209258;44.30975;P1;11/11/2014 10:00;OD
LIG_0455;a;N1;NS;9.009368;44.390277;P1;11/11/2014 05:00;O
LIG_0456;a;N1;FC;8.194156;44.024129;P1;11/11/2014 20:15;O
LIG_0457;a;N1;FS;9.409372;44.34918;P1;11/11/2014 02:00;OD
LIG_0458;a;N1;FC;8.533758;44.334461;P1;11/11/2014 08:00;OD
LIG_0459;a;N1;NS;8.216625;44.12048;P1;11/11/2014 22:59;OD
LIG_0460;a;N1;FS;8.78482;44.434936;P1;12/11/2014 04:30;O
LIG_0461;a;N1;NS;8.906584;44.441608;P1;12/11/2014 04:00;OD
LIG_0462;a;N1;NS;8.847293;44.450531;P2;12/11/2014 04:00;OD
LIG_0463;a;N2;NS;8.768707;44.431439;P2;12/11/2014 04:00;OD
LIG_0464;a;N1;NS;8.480418;44.359299;P2;12/11/2014 04:00;OD
LIG_0465;a;N1;NS;8.51985;44.338239;P2;12/11/2014 04:00;OD
LIG_0466;a;N1;NS;8.737534;44.470087;P1;12/11/2014 07:00;OD
LIG_0467;a;N1;FS;8.921584;44.539942;P1;12/11/2014 04:00;OD
LIG_0468;a;N1;CF;7.867651;43.954743;P1;12/11/2014 04:00;OD
LIG_0470;a;N1;NS;8.784757;44.429907;P1;11/11/2014 12:00;OD
LIG_0471;a;N1;NS;8.908271;44.494211;P1;13/11/2014 05:00;OD
LIG_0472;a;N1;NS;9.34397857;44.35924409;P1;13/11/2014 05:00;OD
LIG_0473;a;N1;NS;8.479086;44.356934;P2;15/11/2014 04:00;OD
LIG_0474;a;N1;NS;8.366209;44.181359;P2;15/11/2014 07:00;OD
LIG_0475;a;N1;NS;8.193773;44.023817;P1;15/11/2014 07:00;OD
LIG_0476;a;N2;NS;8.257476;44.191419;P2;15/11/2014 08:00;OD
LIG_0477;a;N1;NS;8.55597;44.381828;P1;15/11/2014 08:00;OD
LIG_0478;a;N1;NS;8.154352;44.04814296;P1;15/11/2014 06:00;OD
LIG_0479;a;N1;FS;8.908288;44.467573;P1;15/11/2014 17:00;OD
LIG_0480;a;N1;NS;8.668305;44.570993;P1;15/11/2014 15:00;OD
LIG_0481;a;N1;NS;8.693147;44.53895;P1;15/11/2014 15:00;OD
LIG_0482;a;N1;NS;8.917735;44.541191;P1;15/11/2014 12:00;OD
LIG_0483;a;N2;NS;8.897919;44.497254;P1;15/11/2014 10:00;OD
LIG_0484;a;N1;NS;8.790737;44.437557;P1;15/11/2014 14:00;OD
LIG_0485;a;N1;NS;8.556299;44.347746;P1;15/11/2014 13:00;OD
LIG_0486;a;N2;NS;7.888189;44.026124;P2;15/11/2014 07:00;OD
LIG_0487;a;N1;FS;8.751239;44.457114;P1;15/11/2014 20:00;OD
LIG_0488;a;N1;NS;8.054079;44.030933;P1;15/11/2014 22:59;G
LIG_0489;a;N1;FC;9.245695;44.468134;P1;17/11/2014 11:00;OD
LIG_0490;a;N1;NS;9.776453;44.203035;P1;27/11/2014 20:00;OD
LIG_0491;a;N1;NS;9.031334;44.450342;P1;28/11/2014 04:00;OD
LIG_0492;a;N1;NS;9.067369;44.385365;P1;28/11/2014 04:00;OD
LIG_0494;a;N1;FS;8.08037;44.043478;P1;15/11/2014 22:59;G
LIG_0495;a;N1;NS;8.67642;44.402274;P1;15/11/2014 04:00;OD
LIG_0496;a;N1;NS;8.927958;44.57377;P1;15/11/2014 11:30;OD
LIG_0497;a;N1;FC;9.252777;44.415296;P1;17/11/2014 14:00;OD
LIG_0500;a;N1;CF;9.390943;44.419927;P1;11/11/2014 12:00;OD
LIG_0501;a;N1;FS;8.897944;44.530593;P1;16/11/2014 15:00;OD
LIG_0502;a;N1;NS;9.078412;44.444061;P1;05/03/2006 11:00;OD
LIG_0503;a;N1;NS;8.730547;44.431539;P1;15/09/2006 00:30;OD
LIG_0504;a;N1;NS;8.974991;44.415278;P1;15/09/2006 06:00;OD
LIG_0505;a;N1;NS;8.791888;44.433764;P1;15/09/2006 12:30;OD
LIG_0506;a;N1;NS;8.821043;44.460739;P2;01/06/2007 07:00;OD
LIG_0507;a;N1;NS;9.004449;44.440111;P1;05/02/2009 23:30;OD
LIG_0508;a;N1;NS;8.940452;44.558891;P1;16/06/2008 00:30;OD
LIG_0509;a;N1;NS;9.238061;44.375455;P1;28/12/2013 12:30;OD
LIG_0510;a;N1;CT;9.152452;44.41291;P1;09/03/2013 08:00;OD
LIG_0511;a;N1;NS;8.83331;44.473697;P1;27/09/2010 20:00;OD
LIG_0512;a;N1;NS;8.736768;44.434984;P1;17/09/2009 05:00;OD
LIG_0514;a;N1;FS;8.916884;44.594533;P1;26/12/2013 02:00;OD
